No.,Quantity,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,LCSC Price,JLCPCB Price,Primary Category,Secondary Category,Pin Count,LCSC Stock,JLCPCB Stock,Mounting Style,Layer
1,17,"C1,C2,C7,C8,C9,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C23",C0805,100nF,CC0805KRX7R9BB104,YAGEO(国巨),C49678,LCSC,,0.0007,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2,,9620872,SMT,T
2,2,"C3,C4",C0402,22pF,0402CG220J500NT,FH(风华),C1555,LCSC,,0.0002,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2,,2013915,SMT,T
3,2,"C5,C6",C0805,10uF,CL21A106KAYNNNE,SAMSUNG(三星),C15850,LCSC,,0.0014,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2,,11048581,SMT,T
4,2,"C10,C22",C0805,1uF,CL21B105KBFNNNE,SAMSUNG(三星),C28323,LCSC,,0.0013,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2,,7404801,SMT,T
5,2,"C24,C25",CAP-TH_BD6.3-P2.50-D1.0-FD,220uF,KM227M016E11RR0VH2FP0,Chengx(承兴),C43349,LCSC,,0.0032,Capacitors,Aluminum Electrolytic Capacitors - Leaded,2,,223698,DIP,T
6,2,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,MMBT5551(RANGE:200-300),CJ(江苏长电/长晶),C2145,LCSC,,0.0017,Transistors/Thyristors,Bipolar (BJT),3,,3542439,SMT,T
7,2,"R1,R2",R0805,5.1kΩ,0805W8F5101T5E,UNI-ROYAL(厚声),C27834,LCSC,,0.0003,Resistors,Chip Resistor - Surface Mount,2,,4904293,SMT,T
8,12,"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14",R0805,10kΩ,0805W8F1002T5E,UNI-ROYAL(厚声),C17414,LCSC,,0.0003,Resistors,Chip Resistor - Surface Mount,2,,29504279,SMT,T
9,1,R15,R0805,1kΩ,0805W8F1001T5E,UNI-ROYAL(厚声),C17513,LCSC,,0.0003,Resistors,Chip Resistor - Surface Mount,2,,11865611,SMT,T
10,1,R16,RES-ADJ-TH_RK09L1140A5P,10kΩ,RK09L114001T,ALPSALPINE(阿尔卑斯阿尔派),C470463,LCSC,,0.1888,Resistors,"Potentiometers, Variable Resistors",5,,1978,DIP,T
11,1,SPK1,SPK-TH_BD23.0-P10.00-D0.8-L-RD,,GSPK2307P-8R1W,INGHAi(赢海),C530531,LCSC,,0.1119,Audio Products / Vibration Motors,Speakers,2,,4263,DIP,T
12,9,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,,TS-1187A-B-A-B,XKB Connection(中国星坤),C318884,LCSC,,0.0027,Switches,Tactile Switches,4,,721279,SMT,T
13,1,U1,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,,CH340C,WCH(南京沁恒),C84681,LCSC,,0.0744,Interface,USB Converters,16,,10582,SMT,T
14,1,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,AMS1117-3.3,AMS,C6186,LCSC,,0.0227,Power Management (PMIC),"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",4,,962381,SMT,T
15,1,U3,WIFI-SMD_ESP32-WROOM-32E,,ESP32-WROOM-32E-N4,ESPRESSIF(乐鑫),C701341,LCSC,,0.5028,IoT/Communication Modules,WiFi Modules,47,,19208,SMT,T
